"id","DTXSID","CAS","chemName"
854,"DTXSID5021174","59536-65-1","Polybrominated biphenyls (PBB)"
855,"DTXSID5024267","1336-36-3","Polychlorinated biphenyls"
856,"DTXSID7021869","106-44-5","p-Cresol"
857,"DTXSID1022508","104-43-8","4-Dodecylphenol"
858,"DTXSID9026922","112-60-7","Tetraethylene glycol"
859,"DTXSID6027715","9004-99-3","Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-hydroxy-"
860,"DTXSID6027268","629-62-9","Pentadecane"
861,"DTXSID2026943","115-77-5","Pentaerythritol"
862,"DTXSID4027579","4792-15-8","Pentaethylene glycol"
863,"DTXSID7021653","110-62-3","Pentanal"
864,"DTXSID9027077","140-01-2","Diethylenetriaminepentaacetic acid pentasodium salt"
865,"DTXSID5029059","86508-42-1","Perfluoro compounds, C5-18"
866,"DTXSID0027141","311-89-7","Perfluorotributylamine"
867,"DTXSID6027686","8009-03-8","Petrolatum"
868,"DTXSID3027669","8002-05-9","Petroleum"
869,"DTXSID9028546","68476-85-7","Petroleum gases, liquefied"
870,"DTXSID4028547","68476-86-8","Petroleum gases, liquefied, sweetened"
871,"DTXSID2028191","64742-16-1","Petroleum resins"
872,"DTXSID0025866","132-20-7","Pheniramine maleate"
873,"DTXSID8022408","143-74-8","Phenol red"
874,"DTXSID9020617","97-53-0","Eugenol"
875,"DTXSID0021125","77-09-8","Phenolphthalein"
876,"DTXSID8021145","122-60-1","Phenyl glycidyl ether"
877,"DTXSID3021142","61-76-7","Phenylephrine hydrochloride"
878,"DTXSID0027438","1809-19-4","Dibutyl phosphite"
879,"DTXSID3027740","12645-31-7","2-Ethylhexyl phosphate (mixed isomers)"
880,"DTXSID6028781","68647-19-8","Isooctanol phosphate potassium salt"
881,"DTXSID1021952","115-86-6","Triphenyl phosphate"
882,"DTXSID2028513","68457-79-4","Phosphorodithioic acid, mixed O,O-bis(iso-Bu and pentyl) esters, zinc salts"
883,"DTXSID6028789","68649-42-3","Phosphorodithioic acid, O,O-di-C1-14-alkyl esters, zinc salts"
884,"DTXSID2021159","85-44-9","Phthalic anhydride"
885,"DTXSID0029133","99-93-4","4-Hydroxyacetophenone"
886,"DTXSID8023472","84-80-0","Phytonadione"
887,"DTXSID3025914","6041-94-7","C.I. Pigment Red 2"
888,"DTXSID8021226","2425-85-6","C.I. Pigment Red 3"
889,"DTXSID5027354","1047-16-1","Quinacridone"
890,"DTXSID1021451","6358-85-6","C.I. Pigment Yellow 12"
891,"DTXSID2029371","51274-00-1","C.I. Pigment Yellow 42"
892,"DTXSID1021164","110-85-0","Piperazine"
893,"DTXSID3021805","94-62-2","Piperine"
894,"DTXSID9026710","104-93-8","1-Methoxy-4-methylbenzene"
895,"DTXSID8020961","100-01-6","4-Nitroaniline"
896,"DTXSID2028725","68585-34-2","Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C10-16-alkyl ethers, sodium salts"
897,"DTXSID1027712","9004-77-7","Polyethylene glycol monobutyl ether"
898,"DTXSID1027714","9004-98-2","Oleyl alcohol condensed with 2 moles ethylene oxide"
899,"DTXSID0021175","9005-65-6","Polysorbate 80"
900,"DTXSID9029300","9005-67-8","Polysorbate 60"
901,"DTXSID8028842","68915-31-1","Sodium polyphosphate"
902,"DTXSID9027863","25322-69-4","Polypropylene glycol"
903,"DTXSID4027525","3164-85-0","Potassium 2-ethylhexanoate"
904,"DTXSID5025946","7758-02-3","Potassium bromide"
905,"DTXSID5025948","7778-50-9","Potassium dichromate"
906,"DTXSID0025949","143-18-0","Potassium oleate"
907,"DTXSID5029635","1312-76-1","Potassium silicate"
908,"DTXSID7029619","333-20-0","Potassium thiocyanate"
909,"DTXSID9021138","106-50-3","1,4-Benzenediamine"
910,"DTXSID9021182","55268-74-1","Praziquantel"
911,"DTXSID5026750","107-03-9","1-Propanethiol"
912,"DTXSID4029062","88917-22-0","Dipropyleneglycol methyl ether acetate"
913,"DTXSID8024280","60207-90-1","Propiconazole"
914,"DTXSID2021658","123-38-6","Propanal"
915,"DTXSID7021948","114-26-1","Propoxur"
916,"DTXSID8024286","75-55-8","Propyleneimine"
917,"DTXSID4026505","81-84-5","1H,3H-Naphtho(1,8-cd)pyran-1,3-dione"
918,"DTXSID6021872","106-49-0","4-Methylaniline"
919,"DTXSID2021868","106-42-3","p-Xylene"
920,"DTXSID9021924","110-86-1","Pyridine"
921,"DTXSID5023538","15686-83-6","Pyrantel"
922,"DTXSID4023541","65-23-6","Pyridoxine"
923,"DTXSID9028461","68391-05-9","Quaternary ammonium compounds, di-C12-18-alkyldimethyl, chlorides"
924,"DTXSID2028357","68002-58-4","Quaternary ammonium compounds, di-C14-18-alkyldimethyl, Me sulfates"
925,"DTXSID7028227","64742-62-7","Residual oils, petroleum, solvent-dewaxed"
926,"DTXSID3028182","64742-01-4","Residual oils, petroleum, solvent-refined"
927,"DTXSID5028295","65997-13-9","Resin acids and Rosin acids, hydrogenated, esters with glycerol"
928,"DTXSID9028124","64365-17-9","Resin acids and Rosin acids, hydrogenated, esters with pentaerythritol"
929,"DTXSID3023556","68-26-8","Retinol"
930,"DTXSID1021241","79-81-2","Retinol palmitate"
931,"DTXSID8021777","83-88-5","Riboflavin"
932,"DTXSID5021251","81-07-2","Saccharin"
933,"DTXSID0021254","94-59-7","Safrole"
934,"DTXSID9021261","7782-49-2","Selenium"
935,"DTXSID7028778","68611-44-9","Silane, dichlorodimethyl-, reaction products with silica"
936,"DTXSID2029240","2768-02-7","Vinyltrimethoxysilane"
937,"DTXSID2029246","2943-75-1","Triethoxyoctylsilane"
938,"DTXSID7026021","1344-00-9","Sodium aluminosilicate"
939,"DTXSID9029647","1344-09-8","Sodium silicate"
940,"DTXSID5023580","65666-07-1","Silymarin"
941,"DTXSID5022481","83-46-5","beta-Sitosterol"
942,"DTXSID8021775","83-34-1","3-Methylindole"
943,"DTXSID8021351","7772-99-8","Tin(II) chloride"
944,"DTXSID7026029","4418-26-2","Sodium dehydroacetate"
945,"DTXSID2027595","5324-84-5","Sodium 1-octanesulfonate"
946,"DTXSID2027044","127-09-3","Sodium acetate"
947,"DTXSID7026025","7775-09-9","Sodium chlorate"
948,"DTXSID2026363","68-04-2","Trisodium citrate"
949,"DTXSID3024994","2893-78-9","Sodium dichloroisocyanurate"
950,"DTXSID7025219","25155-30-0","Sodium dodecylbenzenesulfonate"
951,"DTXSID2029298","9004-82-4","Dodecanol, ethoxylated, monoether with sulfuric acid, sodium salt"
952,"DTXSID1026035","2492-26-4","Sodium 2-mercaptobenzothiolate"
953,"DTXSID5027067","137-20-2","Sodium N-methyl-N-oleoyltaurate"
954,"DTXSID6020937","7631-99-4","Sodium nitrate"
955,"DTXSID0020941","7632-00-0","Sodium nitrite"
956,"DTXSID7044261","7758-16-9","Sodium pyrophosphate"
957,"DTXSID5021253","128-44-9","Sodium saccharin"
958,"DTXSID5021708","54-21-7","Sodium salicylate"
959,"DTXSID8027872","25383-99-7","Sodium stearoyl lactylate"
960,"DTXSID1021291","7757-82-6","Sodium sulfate anyhdrous"
961,"DTXSID9028099","61790-45-2","Fatty acids, tall-oil, sodium salts"
962,"DTXSID4021343","540-72-7","Sodium thiocyanate"
963,"DTXSID3026302","1300-72-7","Sodium xylenesulfonate"
964,"DTXSID4028252","64742-95-6","Light aromatic solvent naphtha (petroleum)"
965,"DTXSID4026052","64742-88-7","Stoddard solvent IIC"
966,"DTXSID6027395","1338-39-2","Sorbitan monododecanoate"
967,"DTXSID6027397","1338-43-8","Sorbitan, mono-(9Z)-9-octadecenoate"
968,"DTXSID1027396","1338-41-6","Anhydrosorbitol stearate"
969,"DTXSID6027682","8007-43-0","Sorbitan sesquioleate"
970,"DTXSID0026044","111-02-4","(E)-Squalene"
971,"DTXSID7021281","57817-89-7","Stevioside"
972,"DTXSID9026051","8052-41-3","Stoddard solvent"
973,"DTXSID3024312","7440-24-6","Strontium"
974,"DTXSID2021284","100-42-5","Styrene"
975,"DTXSID2021286","96-09-3","Styrene oxide"
976,"DTXSID6023602","110-15-6","Butanedioic acid"
977,"DTXSID3027035","126-13-6","Sucrose acetate isobutanoate"
978,"DTXSID3027037","126-33-0","Sulfolane"
979,"DTXSID8028763","68608-26-4","Sulfonic acids, petroleum, sodium salts"
980,"DTXSID6029672","7446-09-5","Sulfur dioxide"
981,"DTXSID5028376","68081-96-9","Sulfuric acid, mono-C10-16-alkyl esters, ammonium salts"
982,"DTXSID7028726","68585-47-7","Sulfuric acid, mono-C10-16-alkyl esters, sodium salts"
983,"DTXSID9028918","68955-19-1","Sulfuric acid, mono-C12-18-alkyl esters, sodium salts"
984,"DTXSID1029673","7446-11-9","Sulfur trioxide"
985,"DTXSID1028495","68425-17-2","Syrups, hydrolyzed starch, hydrogenated"
986,"DTXSID5023661","50-89-5","Thymidine"
987,"DTXSID2026076","1401-55-4","Tannic acid"
988,"DTXSID3021304","107-35-7","l-Taurine"
989,"DTXSID1022055","540-88-5","tert-Butyl acetate"
990,"DTXSID4026214","101-20-2","Triclocarban"
991,"DTXSID4021393","112-27-6","Triethylene glycol"
992,"DTXSID6026080","100-21-0","Terephthalic acid"
993,"DTXSID0027222","586-62-9","Terpinolene"
994,"DTXSID1026081","79-94-7","3,3',5,5'-Tetrabromobisphenol A"
995,"DTXSID1027267","629-59-4","Tetradecane"
996,"DTXSID4029274","5650-20-4","Tetraethylene glycol monoethyl ether"
997,"DTXSID7026108","112-57-2","Tetraethylenepentamine"
998,"DTXSID6021325","116-14-3","Tetrafluoroethylene"
999,"DTXSID1029128","97-99-4","Tetrahydrofurfuryl alcohol"
1000,"DTXSID7029110","78-69-3","3,7-Dimethyl-3-octanol"
1001,"DTXSID7029663","3794-83-0","Tetrasodium etidronate"
1002,"DTXSID2023723","77-86-1","Tromethamine"
1003,"DTXSID2023648","59-43-8","Thiamine"
1004,"DTXSID8026145","110-02-1","Thiophene"
1005,"DTXSID0027800","18760-44-6","Thiophene, 3-(decyloxy)tetrahydro-, 1,1-dioxide"
1006,"DTXSID7026811","108-98-5","Benzenethiol"
1007,"DTXSID9021348","62-56-6","Thiourea"
1008,"DTXSID8021357","1406-66-2","Tocopherols"
1009,"DTXSID7026156","584-84-9","Toluene-2,4-diisocyanate"
1010,"DTXSID6029123","95-70-5","2-Methyl-1,4-benzenediamine"
1011,"DTXSID2026157","91-08-7","Toluene-2,6-diisocyanate"
1012,"DTXSID0026171","29385-43-1","Tolyltriazole"
1013,"DTXSID0024343","66841-25-6","Tralomethrin"
1014,"DTXSID7024031","156-60-5","(E)-1,2-Dichloroethylene"
1015,"DTXSID4021395","1582-09-8","Trifluralin"
1016,"DTXSID0021389","52-68-6","Trichlorfon"
1017,"DTXSID2026523","87-90-1","Symclosene"
1018,"DTXSID4029301","10025-78-2","Trichlorosilane"
1019,"DTXSID4021391","1330-78-5","Tris(methylphenyl) phosphate"
1020,"DTXSID5027932","27323-41-7","Dodecylbenzene sulfonate triethanolamine(1:1)"
1021,"DTXSID9026219","4568-28-9","Triethanolamine stearate"
1022,"DTXSID3024368","112-50-5","2-[2-(2-Ethoxyethoxy)ethoxy]ethanol"
1023,"DTXSID5026912","112-35-6","2-[2-(2-Methoxyethoxy)ethoxy]ethanol"
1024,"DTXSID9023702","112-24-3","Triethylenetetramine"
1025,"DTXSID8026228","78-40-0","Triethyl phosphate"
1026,"DTXSID5021415","122-20-3","Triisopropanolamine"
1027,"DTXSID7026235","552-30-7","Trimellitic anhydride"
1028,"DTXSID7027122","149-73-5","Trimethoxymethane"
1029,"DTXSID1021403","512-56-1","Trimethyl phosphate"
1030,"DTXSID4026979","121-45-9","Trimethyl phosphite"
1031,"DTXSID0027773","15625-89-5","Trimethylolpropane triacrylate"
1032,"DTXSID3026988","122-32-7","Glyceryl trioleate"
1033,"DTXSID2029329","25498-49-1","Tripropylene glycol monomethyl ether"
1034,"DTXSID5026259","13674-84-5","Tris(2-chloroisopropyl)phosphate"
1035,"DTXSID8027903","26523-78-4","Nonylphenolphosphite(3:1)"
1036,"DTXSID7020556","150-38-9","Trisodium ethylenediaminetetraacetate"
1037,"DTXSID9027075","139-89-9","Trisodium (2-hydroxyethyl)ethylenediaminetriacetate"
1038,"DTXSID7029291","8001-20-5","Tung oil"
1039,"DTXSID6027680","8006-64-2","Turpentine oils"
1040,"DTXSID1023730","60-18-4","L-Tyrosine"
1041,"DTXSID9024726","124-43-6","Carbamide peroxide"
1042,"DTXSID0021969","121-33-5","4-Hydroxy-3-methoxybenzaldehyde"
1043,"DTXSID5028081","61789-80-8","Quaternary ammonium compounds, bis(hydrogenated tallow alkyl)dimethyl, chlorides"
1044,"DTXSID80892369","8028-52-2","Vinegar"
1045,"DTXSID3021431","108-05-4","Vinyl acetate"
1046,"DTXSID4029305","12070-12-1","Tungsten carbide"
1047,"DTXSID7027700","8042-47-5","White mineral oil, petroleum"
1048,"DTXSID1026297","68916-39-2","Witch hazel"
1049,"DTXSID0024719","13983-17-0","Wollastonite"
1050,"DTXSID7024906","8003-22-3","D & C Yellow 11"
1051,"DTXSID7027209","557-05-1","Octadecanoic acid, zinc salt"
1052,"DTXSID4027735","12001-85-3","Zinc naphthenate"
1053,"DTXSID1024386","1314-84-7","Zinc phosphide"
1054,"DTXSID7026314","13463-41-7","Zinc pyrithione"
1055,"DTXSID7023801","78-00-2","Tetraethyl lead"
1056,"DTXSID6020014","520-45-6","Dehydroacetic acid"
1057,"DTXSID1020015","114-83-0","1-Acetyl-2-phenylhydrazine"
1058,"DTXSID3020043","97-59-6","Allantoin"
1059,"DTXSID0020151","140-11-4","Benzyl acetate"
1060,"DTXSID9020160","82657-04-3","Bifenthrin"
1061,"DTXSID9020037","9002-18-0","Agar"
1062,"DTXSID3020205","85-68-7","Benzyl butyl phthalate"
1063,"DTXSID4020240","105-60-2","Caprolactam"
1064,"DTXSID9020241","404-86-4","Capsaicin"
1065,"DTXSID0020107","22839-47-0","Aspartame"
1066,"DTXSID4020321","113-92-8","Chlorpheniramine maleate"
1067,"DTXSID4020161","92-52-4","Biphenyl"
1068,"DTXSID8020179","110-97-4","Diisopropanolamine"
1069,"DTXSID8020381","52918-63-5","Deltamethrin"
1070,"DTXSID4020458","2921-88-2","Chlorpyrifos"
1071,"DTXSID1020144","119-53-9","Benzoin"
1072,"DTXSID0020153","100-44-7","Benzyl chloride"
1073,"DTXSID0020529","121-14-2","2,4-Dinitrotoluene"
1074,"DTXSID8020591","77-83-8","Ethyl methylphenylglycidate"
1075,"DTXSID0020602","120-93-4","Ethylene urea"
1076,"DTXSID1020198","75-27-4","Bromodichloromethane"
1077,"DTXSID8020385","9004-54-0","Dextran"
1078,"DTXSID6020646","110-00-9","Furan"
1079,"DTXSID0020654","105-87-3","Geranyl acetate"
1080,"DTXSID3020673","2353-45-9","FD&C Green No. 3"
1081,"DTXSID0020446","330-54-1","Diuron"
1082,"DTXSID2020428","79-43-6","Dichloroacetic acid"
1083,"DTXSID4020791","121-75-5","Malathion"
1084,"DTXSID1020300","124-48-1","Chlorodibromomethane"
1085,"DTXSID6020305","593-70-4","Chlorofluoromethane"
1086,"DTXSID7020552","562-10-7","Doxylamine succinate"
1087,"DTXSID6030782","1302-78-9","Bentonite"
1088,"DTXSID0051609","12042-91-0","Aluminum chlorohydrate"
1089,"DTXSID4020086","104-46-1","Anethole"
1091,"DTXSID0041931","68439-50-9","Alcohols, C12-14, ethoxylated"
1092,"DTXSID1049437","6132-04-3","Trisodium citrate dihydrate"
1093,"DTXSID20859032","7695-91-2","Acetic acid alpha-tocopherol"
1094,"DTXSID9031066","7758-99-8","Copper(II) sulfate, pentahydrate"
1095,"DTXSID5051448","8007-11-2","Origanum oil"
1096,"DTXSID0051449","8007-46-3","Thyme oil"
1097,"DTXSID4093778","9000-92-4","Amylase"
1098,"DTXSID6052790","9014-01-1","Subtilisin"
1099,"DTXSID5040544","10034-99-8","Magnesium sufate heptahydrate"
1100,"DTXSID3029736","15630-89-4","Carbonic acid disodium salt, compd. with hydrogen peroxide (H2O2) (2:3)"
1101,"DTXSID4049587","37288-54-3","Endo-1,4-.beta.-mannanase"
1102,"DTXSID0041939","68439-49-6","Ethoxylated C16-?18 alcohols"
1103,"DTXSID4041947","68439-51-0","Alcohols, C12-14, ethoxylated propoxylated"
1104,"DTXSID6058633","3055-96-7","Hexaethylene glycol monododecyl ether"
1105,"DTXSID60107640","68989-22-0","Zeolites, NaA"
1106,"DTXSID8021220","68990-67-0","Quillaia extract"
1107,"DTXSID70107732","80455-45-4","Cellulose, hexadecyl 2-hydroxyethyl ether"
1108,"DTXSID20892141","83682-78-4","Cocamidopropyl PG-dimonium chloride phosphate"
1109,"DTXSID00892008","94349-62-9","Aloe barbadensis Mill., extract"
1110,"DTXSID50105933","110615-47-9","D-Glucopyranose, oligomeric, C10-16-alkyl glycosides"
1111,"DTXSID4031930","9002-89-5","Polyvinyl alcohol"
1112,"DTXSID1049647","430439-54-6","Carboxymethyl inulin sodium salt"
1113,"DTXSID7034410","1305-62-0","Calcium hydroxide"
1114,"DTXSID70893845","1310-65-2","Lithium hydroxide"
1115,"DTXSID7035016","1314-13-2","Zinc oxide"
1116,"DTXSID6049640","1332-58-7","Kaolin"
1117,"DTXSID8035180","584-79-2","Allethrin"
1118,"DTXSID9036307","7758-29-4","Pentasodium triphosphate"
1119,"DTXSID10891981","8012-89-3","Beeswax"
1120,"DTXSID3034743","8012-95-1","Mineral oil - includes paraffin oil"
1121,"DTXSID3044178","8015-86-9","Carnauba wax"
1122,"DTXSID3034404","9003-13-8","Butoxypolypropylene glycol"
1123,"DTXSID0049654","9003-55-8","1,3-Butadiene-styrene copolymer"
1124,"DTXSID3050492","9004-34-6","Cellulose"
1125,"DTXSID0049789","9005-25-8","Starch"
1126,"DTXSID20883276","109-27-3","1-Tetrazene-1-carboximidic acid, 4-(aminoiminomethyl)-, 2-nitrosohydrazide"
1127,"DTXSID1025354","12002-43-6","Gilsonite"
1128,"DTXSID6050469","12174-11-7","Attapulgite"
1129,"DTXSID5032109","14807-96-6","Talc"
1130,"DTXSID00889852","68223-93-8","Acetic acid, 2,2'-dithiobis-, ammonium salt (1:2)"
1131,"DTXSID3028477","68411-46-1","Benzenamine, N-phenyl-, reaction products with 2,4,4-trimethylpentene"
1132,"DTXSID5057595","68956-68-3","Vegetable oils"
1133,"DTXSID6050465","99439-28-8","Amorphous silica"
1134,"DTXSID6032649","7696-12-0","Tetramethrin"
1135,"DTXSID801010026","31807-55-3","Isododecane"
1136,"DTXSID9050486","1317-65-3","Limestone"
1137,"DTXSID6052827","1317-80-2","Rutile titanium dioxide"
1138,"DTXSID50109370","132259-10-0","Air"
1139,"DTXSID2041593","1344-28-1","Alumina"
1140,"DTXSID7032688","26002-80-2","Phenothrin"
1141,"DTXSID1029623","513-77-9","Carbonic acid, barium salt (1:1)"
1142,"DTXSID3028184","64742-04-7","Extracts, petroleum, heavy paraffinic distillate solvent"
1143,"DTXSID0051285","68855-54-9","Diatomite"
1144,"DTXSID2035013","7646-85-7","Zinc chloride"
1145,"DTXSID3024152","81335-37-7","Imazaquin"
1146,"DTXSID4047751","9004-70-0","Nitrocellulose"
1147,"DTXSID8034370","10007-85-9","Dicamba-potassium"
1148,"DTXSID8049200","10022-31-8","Barium nitrate"
1149,"DTXSID30894792","10025-77-1","Ferric chloride hexahydrate"
1150,"DTXSID5029712","10028-22-5","Ferric sulfate"
1151,"DTXSID50892174","10034-76-1","Calcium sulfate hemihydrate"
1152,"DTXSID9029699","7778-18-9","Calcium sulfate"
1153,"DTXSID6042105","7487-88-9","Magnesium sulfate anhydrous"
1154,"DTXSID2040317","10043-01-3","Aluminum sulfate"
1155,"DTXSID3064936","10075-85-1","Anthracene, 9,10-bis(phenylethynyl)-"
1156,"DTXSID4022446","2467-02-9","2,2'-Bisphenol F"
1157,"DTXSID7047514","10101-41-4","Calcium sulfate dihydrate"
1158,"DTXSID0049810","10101-89-0","Trisodium phosphate dodecahydrate"
1159,"DTXSID1047522","10124-56-8","Sodium hexametaphosphate"
1160,"DTXSID1049564","10125-13-0","Cupric chloride dihydrate"
1161,"DTXSID9029851","112926-00-8","Hydrated silica"
1162,"DTXSID7037555","102851-06-9","tau-Fluvalinate"
1163,"DTXSID9035676","10332-33-9","Perboric acid, sodium salt, monohydrate"
1164,"DTXSID4049664","10377-60-3","Magnesium nitrate"
1165,"DTXSID0034271","115136-53-3","Imazapic ammonium salt"
1166,"DTXSID6040616","10476-85-4","Strontium chloride"
1167,"DTXSID5040752","10543-57-4","Tetraacetylethylenediamine"
1168,"DTXSID5025152","106-65-0","Dimethyl succinate"
1169,"DTXSID1026740","106-79-6","Dimethyl decanedioate"
1170,"DTXSID8028638","68513-65-5","Butane, branched and linear"
1171,"DTXSID9032113","107534-96-3","Tebuconazole"
1172,"DTXSID9047629","110-41-8","2-Methylundecanal"
1173,"DTXSID4044169","11138-66-2","Corn sugar gum"
1174,"DTXSID8029573","111687-36-6","Ferrate(1-), [[N,N'-1,3-propanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, ammonium, (OC-6-21)-"
1175,"DTXSID6026905","112-15-2","2-(2-Ethoxyethoxy)ethyl acetate"
1176,"DTXSID6047070","1124-11-4","Tetramethylpyrazine"
1177,"DTXSID4029852","112945-52-5","Silica, amorphous, fumed, cryst.-free"
1178,"DTXSID00106011","113894-92-1","Amylopectin, phosphate, 2-hydroxypropyl ether"
1179,"DTXSID2029084","115733-10-3","Benzenesulfonic acid, C14-24-branched and linear alkyl derivs., calcium salts, overbased"
1180,"DTXSID2029086","116265-68-0","Phosphorous acid, triphenyl ester, reaction products with dipropylene glycol"
1181,"DTXSID9020376","1163-19-5","1,1'-Oxybis[2,3,4,5,6-pentabromobenzene]"
1182,"DTXSID7040734","118-60-5","2-Ethylhexyl salicylate"
1183,"DTXSID3027370","1185-55-3","Trimethoxymethylsilane"
1184,"DTXSID4020870","119-47-1","2,2'-Methylenebis(4-methyl-6-tert-butylphenol)"
1185,"DTXSID5032365","1194-65-6","Dichlobenil"
1186,"DTXSID0026967","120-55-8","Diethylene glycol dibenzoate"
1187,"DTXSID3049671","12001-26-2","Mica"
1188,"DTXSID4034609","120068-37-3","Fipronil"
1189,"DTXSID8049672","12042-68-1","Aluminum calcium oxide (Al2CaO4)"
1190,"DTXSID90274011","12054-48-7","Nickel hydroxide (Ni(OH)2)"
1191,"DTXSID50893202","12057-17-9","Lithium manganese oxide (LiMn2O4)"
1192,"DTXSID1047077","12069-69-1","Copper(II) carbonate basic"
1193,"DTXSID70894791","12135-86-3","Antigorite"
1194,"DTXSID7034389","12179-04-3","Boron sodium oxide pentahydrate"
1195,"DTXSID40893216","12190-79-3","Cobalt lithium oxide (CoLiO2)"
1196,"DTXSID6035156","122-70-3","2-Phenylethyl propionate"
1197,"DTXSID30895784","12269-78-2","Pyrophyllite"
1198,"DTXSID1034391","12280-03-4","Disodium octaborate tetrahydrate"
1199,"DTXSID2051633","125-20-2","Thymolphthalein"
1200,"DTXSID2051635","125496-22-2","18-Methylnonadecyl 2,2-dimethylpropanoate"
1201,"DTXSID00894805","12597-71-6","Brass"
1202,"DTXSID6095536","65997-19-5","Steel manufacture, chemicals"
1203,"DTXSID0035160","127-41-3","alpha-Ionone"
1204,"DTXSID5049605","127036-24-2","Poly(oxy-1,2-ethanediyl), alpha-undecyl-omega-hydroxy-, branched and linear"
1205,"DTXSID30108604","128446-60-6","Silsesquioxanes, 3-aminopropyl Me, ethoxy-terminated"
1206,"DTXSID10108662","129828-24-6","Oils, eucalyptus, E. citriodora"
1207,"DTXSID50892018","13007-85-7","Sodium D-glycero-D-guloheptanoate"
1208,"DTXSID5049653","1302-76-7","Kyanite"
1209,"DTXSID3049675","1302-93-8","Mullite"
1210,"DTXSID1034343","1303-28-2","Arsenic(V) pentoxide"
1211,"DTXSID7034387","1303-86-2","Boric oxide"
1212,"DTXSID2034384","1303-96-4","Borax (B4Na2O7.10H2O)"
1213,"DTXSID6051649","1307-96-6","Cobalt(II) oxide"
1214,"DTXSID4043721","1308-38-9","Chromium(III) oxide"
1215,"DTXSID3049706","93763-70-3","Perlite"
1216,"DTXSID40892244","1309-36-0","Pyrite"
1217,"DTXSID9049665","1309-48-4","Magnesium oxide"
1218,"DTXSID8051382","1310-66-3","Lithium hydroxide hydrate"
1219,"DTXSID3029100","131298-44-7","Benzoic acid, C9-11-branched alkyl esters"
1220,"DTXSID6042109","1313-13-9","Manganese dioxide"
1221,"DTXSID5051573","1314-36-9","Yttrium oxide"
1222,"DTXSID9051660","1317-35-7","Manganese(II,III), oxide"
1223,"DTXSID0034489","1317-39-1","Cuprous oxide"
1224,"DTXSID7049637","1317-60-8","Hematite"
1225,"DTXSID7047489","1318-00-9","Vermiculite"
1226,"DTXSID8037598","131929-60-7","Spinosyn A"
1227,"DTXSID3037599","131929-63-0","Spinosyn D"
1228,"DTXSID2021153","132-27-4","Sodium 2-phenylphenate"
1229,"DTXSID20863497","None","None"
1230,"DTXSID8032623","133-32-4","Indole-3-butyric acid"
1231,"DTXSID2034388","1330-43-4","Sodium tetraborate (Na2B4O7)"
1232,"DTXSID3093656","1332-09-8","Pumice"
1233,"DTXSID6049648","1332-37-2","Iron oxide"
1234,"DTXSID30107899","92704-41-1","Kaolin, calcined"
1235,"DTXSID7051216","1333-86-4","Carbon black"
1236,"DTXSID40895093","1336-93-2","Manganese naphthenate"
1237,"DTXSID9064762","7651-02-7","N-[3-(Dimethylamino)propyl]octadecanamide"
1238,"DTXSID1027392","1338-02-9","Copper napthenate"
1239,"DTXSID9035674","13397-24-5","Gypsum (Ca(SO4).2H2O)"
1240,"DTXSID40890543","1335-30-4","Silicic acid, aluminum salt"
1241,"DTXSID5042110","1344-43-0","Manganous oxide"
1242,"DTXSID00858866","13446-34-9","Manganese(II) chloride tetrahydrate"
1243,"DTXSID10106426","135108-88-2","Formaldehyde, polymer with benzenamine, hydrogenated"
1244,"DTXSID8040694","136-60-7","Butyl benzoate"
1245,"DTXSID3051337","13601-19-9","Sodium ferrocyanide"
1246,"DTXSID50894794","13822-80-5","Cuprammonium acetate"
1247,"DTXSID5032442","138261-41-3","Imidacloprid"
1248,"DTXSID2047482","13845-36-8","Potassium tripolyphosphate"
1249,"DTXSID0065696","14025-21-9","Zincate(2-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, sodium (1:2), (OC-6-21)-"
1250,"DTXSID9051458","1406-18-4","Vitamin E (mixture of tocopherols and tocotrienols)"
1251,"DTXSID2044551","141-62-8","Decamethyltetrasiloxane"
1252,"DTXSID20334197","22370-55-4","10-Methyl-1-undecene"
1253,"DTXSID3044754","142-19-8","Prop-2-en-1-yl heptanoate"
1254,"DTXSID3032040","14808-60-7","Quartz-alpha (SiO2)"
1255,"DTXSID1057583","8046-74-0","Fatty acids, potassium salts"
1256,"DTXSID301014966","None","None"
1257,"DTXSID1051723","144538-83-0","Tetrasodium iminidisuccinate"
1258,"DTXSID5041801","14464-46-1","Cristobalite"
1259,"DTXSID0030744","14567-73-8","Asbestos, tremolite"
1260,"DTXSID0020650","149-91-7","Gallic acid"
1261,"DTXSID60904116","14918-69-5","2,3-Dichloro-5,8-dihydroxy-1,4-naphthoquinone"
1262,"DTXSID60904353","14977-37-8","Langbeinite"
1263,"DTXSID40894809","151865-59-7","Silyl terminated polyether"
1264,"DTXSID10890757","15245-44-0","Lead 2,4,6-trinitro-m-phenylene dioxide"
1265,"DTXSID6042107","15375-84-5","Disodium manganese EDTA"
